Año,Trimestre,Accesos por cada 100 hogares,Accesos por cada 100 hab,Periodo,ADSL,Cablemodem,Fibra óptica,Wireless,Otros_AccTecno,Total_AccTecno,Ingresos (miles de pesos),Mbps (Media de bajada),Banda ancha fija,Dial up,Total_AccBandaTotal,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,Otros_AccVel,Total_AccVel
2022,3,76.64,23.95,Jul-Sept 2022,1395.277,6031.97,2871.541,557.11,235.23,11091.128,67055.93,62.46,11078.691,12.437,11091.128,33.013,96.727,1161.37,1151.906,823.505,479.822,6995.75,349.035,11091.128
2022,2,75.97,23.72,Abr-Jun 2022,1468.333,5979.214,2723.285,556.243,231.609,10958.684,60335.724,58.44,10946.248,12.436,10958.684,33.667,99.498,1193.09,1197.03,856.562,485.321,6741.922,351.594,10958.684
2022,1,73.88,23.05,Ene-Mar 2022,1533.24,6073.426,2219.533,545.814,251.996,10624.009,55589.997,55.11,10611.39,12.619,10624.009,34.89,104.84,1263.273,1209.148,967.508,509.83,6336.187,198.333,10624.009
2021,4,73.18,22.81,Oct-Dic 2021,1657.615,5984.24,2072.236,523.107,252.596,10489.794,45467.887,52.34,10476.933,12.861,10489.794,41.262,28.521,1413.208,1245.333,976.539,558.358,6032.322,194.251,10489.794
2021,3,70.58,21.98,Jul-Sept 2021,1950.631,5826.257,1566.048,492.415,250.19,10085.541,42999.944,48.46,10075.184,10.357,10085.541,40.174,41.437,2550.229,1095.772,710.122,536.364,4948.174,163.269,10085.541
2021,2,69.24,21.55,Abr-Jun 2021,2018.587,5641.731,1472.246,476.968,253.552,9863.084,38239.667,45.63,9852.702,10.382,9863.084,40.172,42.024,2531.271,1080.279,693.277,647.401,4661.291,167.369,9863.084
2021,1,67.95,21.13,Ene-Mar 2021,2175.211,5424.782,1362.976,434.548,250.455,9647.972,36676.371,43.11,9637.956,10.016,9647.972,39.487,41.674,2593.477,1072.722,737.93,595.92,4379.965,186.797,9647.972
2020,4,67.62,21.01,Oct-Dic 2020,2213.949,5371.824,1311.199,421.554,253.036,9571.562,33539.703,42.36,9561.546,10.016,9571.562,39.51,42.185,2622.638,1073.875,786.595,582.42,4239.237,185.102,9571.562
2020,3,66.31,20.59,Jul-Sept 2020,2263.889,5259.351,1170.879,413.259,248.821,9356.199,31997.445,40.67,9346.183,10.016,9356.199,41.038,44.005,2637.984,1040.017,799.35,538.567,4053.461,201.777,9356.199
2020,2,64.21,19.92,Abr-Jun 2020,2295.533,5005.115,1106.725,376.667,247.016,9031.056,32102.476,38.32,9021.04,10.016,9031.056,41.038,48.69,2651.502,1053.107,807.775,523.437,3711.499,194.008,9031.056
2020,1,62.86,19.48,Ene-Mar 2020,2299.457,4903.674,1047.817,352.333,209.145,8812.426,29946.216,37.52,8802.435,9.991,8812.426,42.55,56.17,2649.819,1022.014,814.47,532.309,3500.882,194.212,8812.426
2019,4,62.92,19.49,Oct-Dic 2019,2414.575,4883.869,941.295,340.144,213.298,8793.181,24169.251,28.26,8783.053,10.128,8793.181,38.272,28.98,2792.307,1046.128,851.619,1004.083,2830.746,201.046,8793.181
2019,3,65.79,20.36,Jul-Sept 2019,2909.805,4800.091,852.221,338.241,264.326,9164.684,21652.748,24.18,9142.891,21.793,9164.684,241.713,80.599,3309.137,1026.859,806.466,1141.545,2314.898,243.467,9164.684
2019,2,64.53,19.96,Abr-Jun 2019,2990.457,4635.575,760.794,308.027,265.328,8960.181,20743.118,20.33,8938.427,21.754,8960.181,202.79,95.98,3444.458,871.142,1169.632,1250.366,1677.83,247.983,8960.181
2019,1,62.48,19.31,Ene-Mar 2019,3132.789,4435.439,637.099,276.419,166.389,8648.135,20207.414,17.38,8626.323,21.812,8648.135,166.573,195.706,3428.759,882.836,1464.748,1244.215,1138.728,126.57,8648.135
2018,4,61.42,18.97,Oct-Dic 2018,3329.027,4313.831,388.013,264.299,178.485,8473.655,16637.687,15.95,8451.841,21.814,8473.655,138.74,201.196,3337.982,882.388,1472.634,1688.748,599.579,152.388,8473.655
2018,3,60.69,18.73,Jul-Sept 2018,3521.447,4238.171,247.366,246.181,93.87,8347.035,15410.981,15.36,8320.223,26.812,8347.035,5.675,220.589,3401.277,859.413,1607.137,1571.692,524.777,156.475,8347.035
2018,2,59.16,18.24,Abr-Jun 2018,3557.216,4038.141,226.285,194.267,94.535,8110.444,14319.467,13.85,8083.533,26.911,8110.444,5.972,219.467,3316.868,979.416,1905.839,1000.036,444.391,238.455,8110.444
2018,1,58.82,18.12,Ene-Mar 2018,3574.294,3981.129,217.46,165.3,98.87,8037.053,13171.459,13.22,8009.981,27.072,8037.053,7.309,215.406,3272.724,976.956,2068.087,862.01,397.977,236.584,8037.053
2017,4,57.78,17.79,Oct-Dic 2017,3584.311,3818.157,211.425,155.775,100.554,7870.222,11226.127,12.01,7842.778,27.444,7870.222,15.041,221.474,3773.159,1005.545,1730.353,631.946,337.559,155.145,7870.222
2017,3,56.9,17.51,Jul-Sept 2017,3622.575,3670.221,193.964,106.443,131.74,7724.943,10065.998,8.34,7696.594,28.349,7724.943,19.022,217.997,4062.226,1062.81,1592.304,353.48,245.79,0.0,7553.629
2017,2,54.9,16.88,Abr-Jun 2017,3723.518,3383.434,180.777,85.813,56.122,7429.664,9678.647,7.16,7401.134,28.53,7429.664,22.366,222.766,4416.065,990.281,1342.0,231.604,98.635,0.0,7323.717
2017,1,54.16,16.64,Ene-Mar 2017,3708.898,3276.251,180.146,84.813,55.746,7305.854,8701.201,6.62,7277.314,28.54,7305.854,20.653,230.159,4584.534,975.027,1129.987,210.668,47.99,0.0,7199.018
2016,4,53.94,16.56,Oct-Dic 2016,3722.794,3210.602,178.07,85.119,55.088,7251.673,7483.98,6.34,7223.128,28.545,7251.673,20.724,233.398,4673.339,971.094,1038.029,169.522,38.59,0.0,7144.696
2016,3,53.73,16.5,Jul-Sept 2016,3776.442,3124.855,169.898,81.455,54.3,7206.95,6912.442,5.94,7178.34,28.61,7206.95,20.104,294.413,4816.081,936.533,919.208,124.564,31.022,0.0,7141.925
2016,2,53.34,16.37,Abr-Jun 2016,3782.085,3035.272,167.788,85.452,59.482,7130.079,6534.241,5.42,7097.604,32.475,7130.079,44.008,384.221,5058.481,796.998,785.759,73.977,29.02,0.0,7172.464
2016,1,51.85,15.9,Ene-Mar 2016,3792.493,2806.359,164.371,85.37,58.763,6907.356,5936.845,5.08,6874.704,32.652,6907.356,30.428,404.81,4944.358,762.999,641.646,27.664,23.38,0.0,6835.285
2015,4,52.63,16.12,Oct-Dic 2015,3803.024,2898.226,139.187,85.726,58.668,6984.831,5376.899,4.99,6952.289,32.542,6984.831,34.243,427.394,5049.64,726.74,639.011,17.568,22.17,0.0,6916.766
2015,3,52.46,16.05,Jul-Sept 2015,3788.696,2840.203,162.663,84.53,58.976,6935.068,5153.739,4.79,6902.267,32.801,6935.068,35.03,455.777,5087.802,701.187,539.414,13.101,20.677,0.0,6852.988
2015,2,51.76,15.82,Abr-Jun 2015,3767.821,2756.294,150.839,82.077,59.157,6816.188,4701.791,4.55,6783.279,32.909,6816.188,40.723,500.175,5138.431,645.44,432.762,10.045,18.529,0.0,6786.105
2015,1,51.36,15.68,Ene-Mar 2015,3756.153,2668.248,168.188,79.098,66.045,6737.732,4876.385,4.35,6699.714,38.018,6737.732,41.158,516.919,5121.423,571.62,348.102,7.643,16.347,0.0,6623.212
2014,4,50.5,15.39,Oct-Dic 2014,3764.038,2536.219,149.682,76.984,71.573,6598.496,3950.441,4.16,6559.172,39.324,6598.496,44.075,554.749,5084.556,496.251,276.254,4.371,15.229,0.0,6475.485
2014,3,50.67,15.43,Jul-Sept 2014,3714.764,2569.868,155.494,85.096,70.049,6595.271,3478.638,3.87,6559.264,36.007,6595.271,37.43,608.018,5153.437,373.372,182.483,507.0,12.424,0.0,6367.671
2014,2,49.86,15.16,Abr-Jun 2014,3708.882,2461.67,149.363,72.405,72.148,6464.468,3270.816,3.76,6428.329,36.139,6464.468,41.064,656.408,5149.574,341.689,147.273,478.0,12.259,0.0,6348.745
2014,1,49.55,15.05,Ene-Mar 2014,3697.066,2407.33,150.323,70.749,72.93,6398.398,2984.054,3.62,6362.108,36.29,6398.398,52.684,687.619,5130.294,289.182,101.127,345.0,11.595,0.0,6272.846
